timestamp,rollspeed,pitchspeed,yawspeed,q0,q1,q2,q3,delta_q_reset0,delta_q_reset1,delta_q_reset2,delta_q_reset3,quat_reset_counter,basestation,flight_number
403236972,0.081118375,0.23375122,0.20798485,-0.6230911,0.057715505,0.0073808767,-0.7799821,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
403336841,0.13769425,0.032977745,0.1382197,-0.61632407,0.06307461,-0.0026469415,-0.7849582,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
403441697,0.098092444,-0.21292508,0.08831693,-0.61223596,0.05729524,-0.0041064243,-0.7885859,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
403545883,0.050298456,-0.31283095,-0.04293262,-0.6104276,0.04534646,0.0020456002,-0.7907703,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
403649787,0.123301804,-0.1678277,-0.03015221,-0.6097604,0.03482803,0.008392453,-0.7917758,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
403750051,-0.014357083,-0.3497753,-0.063399926,-0.610202,0.02602987,0.013940333,-0.79169554,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
403853708,-0.06580468,-0.109670036,-0.116651356,-0.6114406,0.01740098,0.020129181,-0.79084295,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
403953837,-0.11676716,-0.14224058,0.035402227,-0.6127596,0.010759398,0.026298648,-0.7897584,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
404057754,-0.031279176,-0.3147194,0.026608713,-0.61446434,0.0014902262,0.032874364,-0.7882581,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
404161705,0.035265286,-0.20789672,-0.052025173,-0.6162224,-0.0060236324,0.03896198,-0.7865849,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
404261684,-0.058333058,-0.065096796,-0.13751183,-0.61791706,-0.0080972025,0.040396594,-0.7851631,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
404365644,-0.12539141,0.019824732,-0.100476906,-0.61943275,-0.008846897,0.039944224,-0.783983,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
404465805,0.013698273,0.06704959,-0.067761555,-0.6205485,-0.007909097,0.038090218,-0.7832026,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
404565829,-0.044935416,0.09189678,0.04101126,-0.6213458,-0.0046269894,0.035441767,-0.78272086,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
404669789,0.07403037,0.15226556,0.008105079,-0.62173367,0.0035015019,0.029150313,-0.7826783,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
404771412,-0.008051948,0.2997423,0.028503558,-0.62157214,0.015394499,0.019757956,-0.7829565,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
404871446,-0.08163893,0.23777862,0.025688667,-0.6211874,0.02544031,0.011314432,-0.78316736,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
404971804,0.09460333,-0.043871917,0.054014586,-0.6208322,0.030445712,0.00684396,-0.78332216,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
405075478,-0.00185738,-0.16628,-0.031328656,-0.62067854,0.029029548,0.0090630725,-0.7834751,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
405175388,0.022655189,-0.2564993,0.039792914,-0.6204407,0.01986386,0.017619433,-0.78380376,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
405279730,-0.032677084,-0.23025028,0.09474472,-0.62016004,0.0099920025,0.026718952,-0.7839565,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
405383349,0.03530989,-0.17683521,0.07657293,-0.6198662,0.0029372526,0.032920048,-0.7840113,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
405483386,-0.030502463,0.0401315,-0.06641253,-0.6197882,-0.0002975721,0.034731824,-0.7840001,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
405583319,-0.010078771,-0.03241372,0.021269236,-0.6195485,-0.0009313603,0.034952026,-0.7841793,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
