timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,basestation,flight_number
299230582,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
300250479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
301258379,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
302263382,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
303263477,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
304278490,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
305289483,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
306295483,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
307302288,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
308321620,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
309326611,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
310330490,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
311339771,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
312340716,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
313350653,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
314359479,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
315379850,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
316391496,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
317404817,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
318409488,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
319413801,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
320415284,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
321426621,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
322432713,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
