timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,lat_hp,lon_hp,alt_hp,alt_ellipsoid_hp,fix_type,vel_ned_valid,satellites_used,nav_pvt_flags,basestation,flight_number
268248538,1652271825399755,293754275,-895490862,15972,-10263,0.2,2.1392558,0.311,0.6606,0.51,1.0,69,37,0.060000002,0.053000003,0.028,0.578,4.779052,-3826,,0.0,-15,-11,-1,3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
268356757,1652271825499755,293754276,-895490862,15916,-10318,0.201,1.5108072,0.3111,0.6608,0.51,1.0,69,37,0.086,0.08400001,0.014,0.45900002,4.779052,-4203,,0.0,-47,2,4,-2,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
268460130,1652271825599755,293754276,-895490861,15874,-10361,0.201,1.2474444,0.31129998,0.66099995,0.51,1.0,69,37,0.12200001,0.052,0.11100001,0.43300003,4.779052,-4291,,0.0,21,-44,-3,1,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
268556631,1652271825699755,293754277,-895490861,15824,-10411,0.20700002,3.1415925,0.31149998,0.6611,0.51,1.0,69,37,0.036000002,0.036000002,-0.006,0.37500003,4.779052,-3985,,0.0,-43,3,-2,2,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
268660774,1652271825799755,293754277,-895490861,15794,-10441,0.19500001,1.3844942,0.3117,0.6613,0.51,1.0,69,37,0.096,0.087000005,0.039,0.23500001,4.779052,-4147,,0.0,18,10,-4,0,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
268762536,1652271825899755,293754278,-895490860,15771,-10464,0.185,1.2004007,0.3117,0.66139996,0.51,1.0,69,42,0.12200001,0.051000003,0.11000001,0.19500001,4.779052,-4050,,0.0,-15,-20,-2,2,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
268870647,1652271825999756,293754278,-895490860,15748,-10486,0.2,3.1415925,0.3117,0.6613,0.51,1.0,69,42,0.036000002,0.028,0.023000002,0.13800001,4.779052,-4152,,0.0,23,45,5,-1,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
268969710,1652271826099755,293754278,-895490859,15730,-10504,0.186,2.2737296,0.3117,0.6613,0.51,1.0,69,42,0.067,0.022000002,0.063,0.117000006,4.779052,-4179,,0.0,48,-13,3,-3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
269061472,1652271826199755,293754279,-895490859,15717,-10518,0.133,2.10162,0.3118,0.6613,0.51,1.0,69,42,0.072000004,0.037,0.062000003,0.036000002,4.779052,-3706,,0.0,-25,45,-3,1,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
269149500,1652271826299755,293754279,-895490858,15712,-10523,0.14500001,3.1415925,0.3119,0.6612,0.51,1.0,69,42,0.033,0.010000001,0.032,0.023000002,4.779052,-3392,,0.0,-1,-17,-1,3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
269257625,1652271826399755,293754279,-895490858,15707,-10528,0.124000005,3.1415925,0.3119,0.6612,0.51,1.0,69,42,0.036000002,0.007,0.036000002,-0.011000001,4.779052,-4123,,0.0,7,9,-1,3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
269358528,1652271826499755,293754279,-895490857,15703,-10531,0.128,2.3482158,0.312,0.6611,0.51,1.0,69,42,0.064,-0.008,0.064,0.020000001,4.779052,-3987,,0.0,5,-49,2,-4,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
269454599,1652271826599755,293754279,-895490857,15698,-10536,0.133,3.1415925,0.312,0.66099995,0.51,1.0,69,42,0.022000002,-0.0050000004,0.021000002,-0.009000001,4.779052,-4068,,0.0,-3,-14,4,-1,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
269554259,1652271826699754,293754279,-895490857,15696,-10539,0.172,3.1415925,0.3121,0.66099995,0.51,1.0,69,42,0.031000001,-0.023000002,0.021000002,-0.035,4.779052,-4422,,0.0,-17,2,-4,0,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
269658663,1652271826799754,293754279,-895490857,15691,-10544,0.14600001,2.662687,0.31219998,0.66099995,0.51,1.0,69,42,0.053000003,-0.027,0.045,0.015000001,4.779052,-4164,,0.0,-42,29,-1,3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
269759479,1652271826899754,293754278,-895490856,15689,-10545,0.15300001,3.1415925,0.31239998,0.6615,0.51,1.0,70,41,0.038000003,-0.0050000004,0.037,-0.024,4.779052,-3992,,0.0,44,-35,3,-3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
269867493,1652271826999755,293754278,-895490856,15686,-10548,0.14,1.9508435,0.3126,0.662,0.51,1.0,70,41,0.074,-0.031000001,0.068,-0.027,4.779052,-3213,,0.0,24,14,2,-4,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
269962563,1652271827099754,293754278,-895490856,15690,-10545,0.19100001,3.1415925,0.3128,0.66249996,0.51,1.0,70,41,0.033,-0.023000002,0.024,0.030000001,4.779052,-4084,,0.0,2,47,-1,3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
